label,latitude,longitude,description,category,link
Sungei Buloh Wetland Reserve,1.4464304,103.7151643,Mangrove nature reserve,Park,"https://www.google.com/maps/place/Sungei+Buloh+Wetland+Reserve/@1.4464304,103.7151643,16z/data=!4m10!1m2!2m1!1sSungei+Buloh+Wetland+Reserve!3m6!1s0x31da12823e04477b:0x1c3bc6abdad2fab3!8m2!3d1.4464304!4d103.723404!15sChxTdW5nZWkgQnVsb2ggV2V0bGFuZCBSZXNlcnZlWh4iHHN1bmdlaSBidWxvaCB3ZXRsYW5kIHJlc2VydmWSAQ9uYXR1cmVfcHJlc2VydmXgAQA!16zL20vMDVwZGw3?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kranji Marshes,1.4196408,103.7179381,Wetland with birdwatching,Park,"https://www.google.com/maps/place/Kranji+Marshes/@1.4196408,103.7179381,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0df5fc08d7dd:0x97bbe3d7341e764e!8m2!3d1.4196408!4d103.7205184!16s%2Fg%2F11hch_3wt5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
West Coast Park,1.2941659,103.7611659,Seaside park with playgrounds,Park,"https://www.google.com/maps/place/West+Coast+Park/@1.2913603,103.7640731,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1afce2a4cb43:0xec3241e1e8d3caa8!8m2!3d1.2913603!4d103.7666534!16s%2Fm%2F064qbmm?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Pasir Ris Town Park,1.3760966,103.9058835,Green oasis in the city,Park,"https://www.google.com/maps/place/Pasir+Ris+Town+Park/@1.3841067,103.924913,14z/data=!4m10!1m2!2m1!1sPasir+Ris+Town+Park!3m6!1s0x31da3dc871613935:0xad6472b08653fb05!8m2!3d1.3720588!4d103.95268!15sChNQYXNpciBSaXMgVG93biBQYXJrWhUiE3Bhc2lyIHJpcyB0b3duIHBhcmuSAQRwYXJr4AEA!16zL20vMGI0XzI2?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Changi Beach Park,1.3912863,103.9879661,Coastal park with beaches,Park,"https://www.google.com/maps/place/Changi+Beach+Park/@1.3912863,103.9879661,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3c0b63da3653:0xe8220a55468c725c!8m2!3d1.3912863!4d103.9905464!16zL20vMGZqYmM1?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Pulau Ubin,1.4135642,103.9180991,Rustic island with hiking trails,Park,"https://www.google.com/maps/place/Pulau+Ubin/@1.4135642,103.9180991,13z/data=!3m1!4b1!4m6!3m5!1s0x31da3e623f15c661:0xac4f288dcb813841!8m2!3d1.4125659!4d103.9577334!16zL20vMDJfdjg3?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Lower Peirce Reservoir Park,1.371587,103.8094105,Reservoir park with peaceful lake,Park,"https://www.google.com/maps/place/Lower+Peirce+Reservoir+Park/@1.371587,103.8085277,15z/data=!4m10!1m2!2m1!1sLower+Peirce+Reservoir+Park!3m6!1s0x31da16d246d81d43:0xf3e0382d9c7b764c!8m2!3d1.3720142!4d103.8257891!15sChtMb3dlciBQZWlyY2UgUmVzZXJ2b2lyIFBhcmtaHSIbbG93ZXIgcGVpcmNlIHJlc2Vydm9pciBwYXJrkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdExWbzNXVWRCRUFF4AEA-gEECAAQLw!16s%2Fg%2F11c59rm3tg?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Strength Yard,1.308141,103.9008267,Strength training gym,Gym,"https://www.google.com/maps/place/The+Strength+Yard/@1.308141,103.9008267,17z/data=!3m2!4b1!5s0x31da180d5ac9cac1:0xdd2f46255b37b055!4m6!3m5!1s0x31da1811c18f126f:0x7dce37f97a365fa3!8m2!3d1.308141!4d103.903407!16s%2Fg%2F11b5qt681r?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Genesis Gym,1.3081396,103.8208227,Personalized fitness coaching,Gym,"https://www.google.com/maps/place/Genesis+Gym/@1.3104462,103.8406868,18.88z/data=!4m10!1m2!2m1!1sGenesis+Gym!3m6!1s0x31da196cd7e6a2a7:0xdd07d32a70203f5f!8m2!3d1.3101947!4d103.8417144!15sCgtHZW5lc2lzIEd5bZIBEHBlcnNvbmFsX3RyYWluZXLgAQA!16s%2Fg%2F11_f46g4y?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
BFT Kembangan,1.313843,103.7253621,Boutique functional training gym,Gym,"https://www.google.com/maps/place/BFT+Kembangan/@1.3185132,103.9086921,17z/data=!3m2!4b1!5s0x31da1806528b573f:0x10281f20a4fee75b!4m6!3m5!1s0x31da19dc16f60b99:0x21fd39e659353c2e!8m2!3d1.3185132!4d103.9112724!16s%2Fg%2F11kpsmpjgr?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Elevate: The Barbell Club,1.3241416,103.8448073,Strength & barbell training,Gym,"https://www.google.com/maps/place/Elevate:+The+Barbell+Club/@1.3241416,103.8628264,17z/data=!3m2!4b1!5s0x31da19d501eb2fbb:0xa3b2c9bac9c3ab76!4m6!3m5!1s0x31da173a596aae7b:0x526569eafa193b5a!8m2!3d1.3241416!4d103.8654067!16s%2Fg%2F11bxg5xbyx?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Bishan ActiveSG Gym,1.3553847,103.8184509,Community gym with classes,Gym,"https://www.google.com/maps/place/Bishan+ActiveSG+Gym/@1.3554447,103.8485998,17z/data=!4m10!1m2!2m1!1sBishan+ActiveSG+Gym!3m6!1s0x31da171a1cd9b6c7:0x1b099d54a2ada4b!8m2!3d1.3553847!4d103.8514099!15sChNCaXNoYW4gQWN0aXZlU0cgR3ltIgOIAQGSAQNneW3gAQA!16s%2Fg%2F1ptw3dt7m?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Revolution Orchard,1.355383,103.7563482,Spin & HIIT studio,Gym,"https://www.google.com/maps/place/Revolution+Orchard/@1.301527,103.8337638,17z/data=!3m2!4b1!5s0x31da1a1c2b86f271:0x1760a97a5f137c0b!4m6!3m5!1s0x31da19dba3bd1b57:0xe0a3c8f2e5ad58c1!8m2!3d1.301527!4d103.8363441!16s%2Fg%2F11qmb408rw?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Barry’s - Raffles Place,1.2916345,103.8330665,Popular bootcamp fitness center,Gym,"https://www.google.com/maps/place/Barry%E2%80%99s+-+Raffles+Place/@1.2816481,103.8479369,17z/data=!3m2!4b1!5s0x31da19126174a7e7:0x7a150b1bb793c35e!4m6!3m5!1s0x31da19baca0adeaf:0x10836752b4935683!8m2!3d1.2816481!4d103.8505172!16s%2Fg%2F11fkm0bsv0?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Yoga Movement Serangoon Gardens,1.3624861,103.824595,Yoga studio in a green setting,Gym,"https://www.google.com/maps/place/Yoga+Movement+Serangoon+Gardens/@1.3640368,103.8639793,17z/data=!3m1!4b1!4m6!3m5!1s0x31da179e39181509:0x49716d5ccdc0579d!8m2!3d1.3640368!4d103.8665596!16s%2Fg%2F11rdbt14cm?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
PURE Yoga Asia Square Tower 1,1.2903431,103.8329742,Premium yoga & pilates studio,Gym,"https://www.google.com/maps/place/PURE+Yoga+Asia+Square+Tower+1/@1.2784217,103.8488939,17z/data=!3m2!4b1!5s0x31da199cf3c3d143:0x4d585d2d4977f834!4m6!3m5!1s0x31da191188e535c7:0xf57a3836adef231f!8m2!3d1.2784217!4d103.8514742!16s%2Fg%2F11c5gx_1_v?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Gold's Gym Personal Training - Crane Road,1.3125132,103.8828009,Personal training & weightlifting,Gym,"https://www.google.com/maps/place/Gold's+Gym+Personal+Training+-+Crane+Road/@1.3125132,103.8967001,17z/data=!3m1!4b1!4m6!3m5!1s0x31da18117a3c00d3:0xefdf6b31ac15171e!8m2!3d1.3125132!4d103.8992804!16s%2Fg%2F11cpcv77nx?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Executive Centre - Ocean Financial Centre,1.2830123,103.786097,Luxury coworking with services,Coworking,"https://www.google.com/maps/place/The+Executive+Centre+-+Ocean+Financial+Centre/@1.2830123,103.8494347,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190ebfae9eaf:0xbbf6d74ccd54d482!8m2!3d1.2830123!4d103.852015!16s%2Fg%2F11cn0sy0vr?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
UClub Bugis Junction Co-working Space Singapore,1.2830116,103.7859253,Business hub at Bugis,Coworking,"https://www.google.com/maps/place/UClub+Bugis+Junction+%7C+Co-working+Space+Singapore/@1.2997901,103.8530996,17z/data=!3m2!4b1!5s0x31da19babbb81d39:0xad0170a73a9571d0!4m6!3m5!1s0x31da194a0c83eea1:0x3f55b2e781c1f53d!8m2!3d1.2997901!4d103.8556799!16s%2Fg%2F11h1dfxpnb?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Workbuddy,1.2742752,103.8291944,Flexible workspace network,Coworking,"https://www.google.com/maps/place/workbuddy/@1.2742752,103.8127149,14z/data=!3m1!5s0x31da191303478493:0x32a586e9ac7a5738!4m10!1m2!2m1!1sWorkbuddy!3m6!1s0x31da19db69cecdf3:0x6181079f8c6d362e!8m2!3d1.2742752!4d103.8456739!15sCglXb3JrYnVkZHmSAQ9jb3dvcmtpbmdfc3BhY2XgAQA!16s%2Fg%2F11gm5m5qlq?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Working Capitol,1.2788068,103.8389686,Trendy coworking for startups,Coworking,"https://www.google.com/maps/place/The+Working+Capitol/@1.2788068,103.8389686,17z/data=!3m2!4b1!5s0x31da196d993a38a5:0x490c1b6dab538855!4m6!3m5!1s0x31da196d9b43e2cf:0x1d479b766cf735!8m2!3d1.2788068!4d103.8415489!16s%2Fg%2F11b76h00vb?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
